Uni,Email address,Gender,Last Name,First Name,skills
hs2498,sachinhaldavanekar@gmail.com,0,Haldavanekar,Sachin,"{""FrontEnd"": 3, ""Python"": 5, ""NLP"": 4}"
ss4408,snkt087@gmail.com,0,Saurav,Sanket,"{""Latex"": 3, ""Security"": 3, ""FrontEnd"": 2, ""JavaScript"": 3}"
bv1567,bidreviha@yahoo.com,1,Bidre,Viha,"{""Networks"": 3, ""FrontEnd"": 4, ""C++"": 3}"
ds7800,sougatadafader@gmail.com,0,Dafader,Sougata,"{""Security"": 5, ""Computer Vision"": 4, ""BackEnd"": 3}"
ma9067,athulmurali@gmail.com,0,Muralidharan,Athul,"{""BackEnd"": 3, ""NLP"": 3, ""Python"": 4}"
sm1875,megha.suvarna@ymail.com,0,Suvarna,Megha,"{""Java"": 4, ""JavaScript"": 3, ""Security"": 4, ""Machine Learning"": 1}"
av8168,kmvishnu92@gmail.com,1,Asheley,Vishnu,"{""C++"": 3, ""Latex"": 3, ""Machine Learning"": 4, ""NLP"": 5}"
ks6256,srashti.kasliwal@gmail.com,1,Kasliwal,Srashti,"{""Machine Learning"": 4, ""BackEnd"": 3, ""JavaScript"": 3, ""Computer Vision"": 4}"
ab7022,balakumaran26694@gmail.com,1,Asheley,Balakumaran,"{""Python"": 5, ""JavaScript"": 4, ""Machine Learning"": 3, ""Latex"": 5}"
ap6885,ppranavtembe@gmail.com,1,Asheley,Pranav,"{""Database"": 4, ""Security"": 1, ""BackEnd"": 1}"
nh6421,harshildhruve56@gmail.com,0,Navin,Harshil,"{""FrontEnd"": 5, ""Python"": 3, ""Java"": 4, ""BackEnd"": 3, ""JavaScript"": 4}"
ks9711,shravandravid01@gmail.com,0,kumar,Shravan,"{""Python"": 4, ""FrontEnd"": 1, ""Computer Vision"": 4, ""Latex"": 2, ""Machine Learning"": 2}"
ht1453,tejasharish.4u@gmail.com,1,Harish,Tejas,"{""FrontEnd"": 3, ""Database"": 1, ""Computer Vision"": 4, ""JavaScript"": 4, ""Java"": 1}"
tr4658,rohsan7@gmail.com,0,Taori,Rohan,"{""Database"": 5, ""Machine Learning"": 5, ""Java"": 3, ""JavaScript"": 3, ""BackEnd"": 3}"
gm6336,mrunalghanwat2195@gmail.com,0,Ghanwat,Mrunal,"{""Latex"": 5, ""Database"": 1, ""Networks"": 1}"
sv2260,varunsundar08@gmail.com,0,Sundar,Varun,"{""Computer Vision"": 2, ""Python"": 3, ""Database"": 4}"
sk6688,kaustubhcs07@gmail.com,0,Shivdikar,Kaustubh,"{""Computer Vision"": 2, ""Networks"": 5, ""Python"": 2, ""BackEnd"": 3}"
dp3872,pratikdevikar@gmail.com,1,Devikar,Pratik,"{""NLP"": 4, ""Security"": 5, ""Latex"": 3, ""BackEnd"": 4}"
ps9268,saumil94@yahoo.com,1,Patel,Saumil,"{""Computer Vision"": 2, ""Networks"": 5, ""BackEnd"": 3, ""Python"": 4}"
bk7328,keerthan.bharadwaj95@gmail.com,0,Bharadwaj,Keerthan,"{""C++"": 4, ""Latex"": 5, ""Security"": 5, ""Python"": 3, ""Networks"": 4}"
as3765,Sreejith7227@gmail.com,0,Asheley,Sreejith,"{""C++"": 5, ""Python"": 1, ""Latex"": 3, ""Java"": 4, ""NLP"": 1}"
