Uni,Email address,Gender,Last Name,First Name
hs2498,sachinhaldavanekar@gmail.com,0,Haldavanekar,Sachin
ss4408,snkt087@gmail.com,0,Saurav,Sanket
bv1567,bidreviha@yahoo.com,1,Bidre,Viha
ds7800,sougatadafader@gmail.com,0,Dafader,Sougata
ma9067,athulmurali@gmail.com,0,Muralidharan,Athul
sm1875,megha.suvarna@ymail.com,0,Suvarna,Megha
av8168,kmvishnu92@gmail.com,1,Asheley,Vishnu
ks6256,srashti.kasliwal@gmail.com,1,Kasliwal,Srashti
ab7022,balakumaran26694@gmail.com,1,Asheley,Balakumaran
ap6885,ppranavtembe@gmail.com,1,Asheley,Pranav
nh6421,harshildhruve56@gmail.com,0,Navin,Harshil
ks9711,shravandravid01@gmail.com,0,kumar,Shravan
ht1453,tejasharish.4u@gmail.com,1,Harish,Tejas
tr4658,rohsan7@gmail.com,0,Taori,Rohan
gm6336,mrunalghanwat2195@gmail.com,0,Ghanwat,Mrunal
sv2260,varunsundar08@gmail.com,0,Sundar,Varun
sk6688,kaustubhcs07@gmail.com,0,Shivdikar,Kaustubh
dp3872,pratikdevikar@gmail.com,1,Devikar,Pratik
ps9268,saumil94@yahoo.com,1,Patel,Saumil
bk7328,keerthan.bharadwaj95@gmail.com,0,Bharadwaj,Keerthan
as3765,Sreejith7227@gmail.com,0,Asheley,Sreejith
sr7988,rushaabhsaliya@gmail.com,0,Saliya,Rushaabh
ss1175,manusrinidhi10@gmail.com,0,Shankar,Srinidhi
sh6896,harshshethms@gmail.com,1,Sheth,Harsh
mn8018,Nipunmidha92@gmail.com,0,Midha,Nipun
av1776,varad.choudhari@gmail.com,0,Asheley,Varad
jc9069,chaitanyajoshi15@gmail.com,0,Joshi,Chaitanya
mc4267,Cyril13m@gmail.com,0,Mathew,Cyril
rv1119,vyomraj.nitrr@gmail.com,1,RAJ,VYOM
ab8349,bharaths1993@gmail.com,1,Asheley,Bharathwaj
ds3757,sibendu.dey@gmail.com,1,Dey,Sibendu
sa8011,aks.shukla47@gmail.com,0,Shukla,Akshat
